car_model_id,car_type_id,color_id,poster_id,condition_id,km,door_num,seat_num,car_year,price_num,price_words,area
4,1,1,65,1,3200,5,5,2018,2000000000,2 Tỷ 200 Triệu,Hà Nội
4,1,3,53,1,0,4,5,2017,1000000000,1 Tỷ 999 Triệu,Hà Nội
5,3,3,66,1,40000,4,5,2013,1000000000,1 Tỷ 99 Triệu,Hà Nội
5,3,3,67,1,35000,4,5,2013,1000000000,1 Tỷ 89 Triệu,Hà Nội
5,3,3,68,1,35000,4,5,2015,1000000000,1 Tỷ 299 Triệu,Hà Nội
5,3,3,57,1,30000,4,5,2015,1000000000,1 Tỷ 579 Triệu,Hà Nội
5,3,9,69,1,32000,4,5,2016,1000000000,1 Tỷ 540 Triệu,TP HCM
5,3,6,53,1,0,4,5,2016,1000000000,1 Tỷ 545 Triệu,Hà Nội
5,3,7,12329,1,27000,4,5,2016,1000000000,1 Tỷ 545 Triệu,Hà Nội
5,3,9,71,1,25000,4,5,2016,1000000000,1 Tỷ 540 Triệu,Hà Nội
5,3,6,53,1,20000,4,5,2016,1000000000,1 Tỷ 545 Triệu,Hà Nội
5,3,3,72,1,85000,4,5,2013,1000000000,1 Tỷ 50 Triệu,Hà Nội
5,3,3,73,1,19000,4,5,2016,1000000000,1 Tỷ 500 Triệu,TP HCM
5,3,3,74,1,0,4,5,2016,1000000000,1 Tỷ 530 Triệu,Hà Nội
5,3,3,75,1,69000,4,5,2009,583000000,583 Triệu,Hà Nội
5,3,3,31,1,21000,4,5,2016,1000000000,1 Tỷ 550 Triệu,Hà Nội
5,3,3,76,1,55000,5,5,2015,1000000000,1 Tỷ 319 Triệu,Đồng Nai
5,3,1,46,1,15000,4,5,2017,1000000000,1 Tỷ 630 Triệu,Hà Nội
5,3,3,35,1,20000,4,5,2016,1000000000,1 Tỷ 550 Triệu,Hà Nội
5,3,10,77,1,120000,4,5,2009,520000000,520 Triệu,Hà Nội
5,3,2,8679,1,21000,4,5,2016,1000000000,1 Tỷ 545 Triệu,Hà Nội
5,3,3,78,1,30000,4,5,2014,1000000000,1 Tỷ 99 Triệu,Hà Nội
5,3,4,79,1,68800,4,5,2013,990000000,990 Triệu,TP HCM
5,3,1,13969,1,120000,4,5,2010,545000000,545 Triệu,Hà Nội
5,3,3,6631,1,70000,4,5,2011,819000000,819 Triệu,Hà Nội
5,3,3,81,1,138000,4,5,2010,720000000,720 Triệu,TP HCM
5,3,10,82,1,100000,4,5,2008,460000000,460 Triệu,Lâm Đồng
5,3,3,83,1,58092,4,5,2015,1000000000,1 Tỷ 459 Triệu,TP HCM
5,3,3,84,1,35000,4,5,2016,1000000000,1 Tỷ 600 Triệu,Nghệ An
