car_model_id,car_model
345,toyota aurion
346,toyota avalon
347,toyota avanza
348,toyota aygo
349,toyota carina
350,toyota celica
351,toyota corolla cross
352,toyota corolla verso
353,toyota corona
354,toyota cressida
355,toyota crown
356,toyota fj cruiser
357,toyota granvia
358,toyota highlander
359,toyota matrix
360,toyota previa
361,toyota prius
362,toyota rav4
363,toyota sienna
364,toyota solara
365,toyota van
366,toyota venza
367,toyota windom
368,toyota wish
369,toyota xa
370,toyota khac
371,vinfast fadil
372,vinfast lux a 2.0
373,volkswagen tiguan
374,volkswagen passat
375,volkswagen polo
376,volkswagen scirocco
377,volkswagen beetle
378,volkswagen touareg
379,volkswagen eos
380,volkswagen new beetle
381,alfa romeo
382,alfa romeo 159
383,asia
384,asia khac
385,baic
386,baic q7
387,baic x65
388,bentley
389,bentley bentayga
390,bentley continental
391,bentley flying spur
392,bentley mulsanne
393,brilliance
394,brilliance v7
395,byd
396,byd f0
397,cadillac
398,cadillac escalade
399,cadillac srx
400,cadillac cts
401,cadillac ats
402,cadillac sts
403,chery
404,chery qq3
405,chrysler
406,chrysler 300c
407,chrysler lebaron
408,chrysler town country
409,dodge
410,dodge caravan
411,dodge neon
412,dongfeng
413,dongfeng joyear t5
414,dongfeng lingzhi m3
415,ferrari
416,ferrari 488
417,ferrari f8
418,gaz
419,gaz gazele
420,geely
421,geely emgrand
422,haima
423,haima 2
424,haima freema
425,haima m3
426,haima s5
427,haima v70
428,hino
429,hino 300 series
430,hino 500 series
431,hino 700 series
432,hummer
433,hummer h2
434,infiniti
435,infiniti g37
436,infiniti qx
437,jaguar
438,jaguar xf
439,jaguar xj series
440,jaguar f pace
441,jaguar e type
442,jaguar e pace
443,jaguar f type
444,jaguar xe
445,jeep
446,jeep a2
447,jeep cj
448,jeep compass
449,jeep gladiator
450,jeep grand cherokee
451,jeep wrangler
452,jeep khac
453,jrd
454,jrd daily
455,jrd mega
456,jrd travel
457,jrd khac
458,lada
459,lada niva
460,lada 2107
461,lamborghini
462,lamborghini aventador
463,lamborghini huracan
464,lamborghini urus
465,lifan
466,lifan 520
467,lincoln
468,lincoln aviator
469,lincoln navigator
470,lincoln town car
471,luxgen
472,luxgen m7
473,luxgen s5
474,luxgen u7
475,maserati
476,maserati ghibli
477,maserati levante
478,maserati quattroporte
479,mekong
480,mekong pronto
481,mekong star
482,mekong khac
483,mg
484,mg hs
485,mg zs
486,mini
487,mini cooper
488,mini one
489,opel
490,opel omega
491,proton
492,proton wira
493,ram
494,ram 1500
495,rolls royce
496,rolls royce cullinan
497,rolls royce ghost
498,rolls royce phantom
499,rolls royce wraith
500,samsung
501,samsung qm5
502,samsung sm3
503,samsung khac
504,smart
505,smart forfour
506,smart fortwo
507,ssangyong
508,ssangyong musso
509,ssangyong korando
510,ssangyong tivoli
511,ssangyong korando sport
512,ssangyong kyron
513,ssangyong rexton
514,ssangyong stavic
515,subaru
516,subaru forester
517,subaru outback
518,subaru xv
519,subaru legacy
520,subaru tribeca
521,subaru tutto
522,subaru wrx
523,sym
524,sym v5
525,tesla
526,tesla 3
527,thaco
528,thaco auman
529,thaco forland
530,thaco foton
531,thaco frontier
532,thaco mobihome
533,thaco ollin
534,thaco towner
535,thaco khac
536,tobe
537,tobe mcar
538,uaz
539,uaz hunter
540,uaz simbir
541,uaz khac
542,vinaxuki
543,vinaxuki jinbei
544,vinaxuki 990t
545,vinaxuki 1490t
546,vinaxuki 1240t
547,vinaxuki 3000ba
548,vinaxuki khac
549,volvo
550,volvo xc90
551,volvo xc60
552,volvo s90
553,volvo v90
554,volvo xc40
555,zotye
556,zotye t600
557,zotye z8
558,hang khac
